item_id,domain,group,standards,item_information,prompt,option_a,option_b,option_c,correct,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
S11ESS3.4M3,NA,11,S11ESS3.4,"M - Here is a graph. (Point to prompt.) Which city produces the most trash: A, B, or C?",Which city produces the most trash?,A,B,C,b,BarGraph_CityTrash2.ai,NA,NA,NA,Graph_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.28,NA
S11ESS3.4M4,NA,11,S11ESS3.4,"M - Here is a graph. (Point to prompt.) Which city recycles the most plastic: A, B, or C?",Which city recycles the most plastic?,A,B,C,a,BarGraph_CityRecycling2.ai,NA,NA,NA,Graph_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS3.4M8,NA,11,S11ESS3.4,"M - Here is a landfill of trash. (Point to prompt.) How can we keep landfills small: litter, recycle, or smoke?",How can we keep landfills small?,litter,recycle,smoke,b,Garbage_Pile.ai,Boy_Littering4.ai,Girl_Recycling1.ai,Man_Smoking.ai,Plants_Outdoors/People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ETS1.1H10,NA,11,S11ETS1.1,"H - Here is a person who cannot speak out loud. (Point to prompt.) Which technology could help people who cannot speak: book, TV, or talking computer?",Here is a person who cannot speak out loud. Which technology could help people who cannot speak?,book,TV,talking computer,c,Girl_Cover_Mouth.ai,Book1.ai,TV1.ai,Laptop4.ai,People/Clasroom/Household Objects,prompt + graphic,graphic + word,graphic + word,graphic + word,Science_G11_S11ETS1.1H10_intro.mp3,Science_G11_S11ETS1.1H10_stem.mp3,Science_G11_S11ETS1.1H10_a.mp3,Science_G11_S11ETS1.1H10_b.mp3,Science_G11_S11ETS1.1H10_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,0.1963
S11ETS1.1H14,NA,11,S11ETS1.1,"H - This student uses a wheelchair at school. (Point to girl in prompt.) What should the school build to help the student: stairs, an elevator, or a boat?",This student uses a wheelchair at school. What should a school build so students in wheelchairs can get upstairs?,stairs,elevator,boat,b,Boy_Wheelchair5.ai,Stairs.ai,Elevator.ai,Boat1.ai,People/Misc./Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
S11ETS1.1H15,NA,11,S11ETS1.1,"H - Here is a person who cannot see very well. (Point to prompt.) Which technology could help people who cannot see well: radio, hearing aid, or glasses?",Here is a person who cannot see very well. Which technology could help people who cannot see well?,radio,hearing aid,glasses,c,Boy16.ai,Radio2.ai,Hearing_Aid.ai,Glasses.ai,People/Household  Objects,prompt + graphic,graphic + word,graphic + word,graphic + word,Science_G11_S11ETS1.1H15_intro.mp3,Science_G11_S11ETS1.1H15_stem.mp3,Science_G11_S11ETS1.1H15_a.mp3,Science_G11_S11ETS1.1H15_b.mp3,Science_G11_S11ETS1.1H15_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,-0.3826
S11ETS1.1H19,NA,11,S11ETS1.1,"H - Here is a person whose arms or legs don't move. (Point to prompt.) Which could help people who cannot use their arms or legs: TV remote, hearing aid, or service dog?",Here is a person whose arms or legs don't move. Which could help people who cannot use their arms or legs?,TV remote,hearing aid,service dog,c,Boy_Wheelchair6.ai,Remote2.ai,Hearing_Aid.ai,Dog9.ai,People/Household Objects/Animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ETS1.1H20,NA,11,S11ETS1.1,"H - Oil creates energy, but also pollutes the Earth. (Point to prompt.) Which is an energy resource that creates less pollution:  coal, nuclear, or solar?","Oil creates energy, but also pollutes the Earth. Which is an energy resource that creates less pollution?",coal,nuclear,solar,c,Oil_Drill.ai,Factory2.ai,Factory4.ai,Sun_Solar_Panel.ai,Tools/Plants_Outdoors,prompt + graphic,graphic + word,graphic + word,graphic + word,Science_G11_S11ETS1.1H20_intro.mp3,Science_G11_S11ETS1.1H20_stem.mp3,Science_G11_S11ETS1.1H20_a.mp3,Science_G11_S11ETS1.1H20_b.mp3,Science_G11_S11ETS1.1H20_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,1.281
S11ETS1.1H4,NA,11,S11ETS1.1,"H - Some people don't have enough food to eat. (Point to prompt.) What could help hungry people get food: build more restaurants, plant more trees, or donate to food banks?",Some people don't have enough food to eat. What could help hungry people get food?,build more restaurants,plant more trees,donate to food banks,c,Boy_Eating6.ai,Restaurant.ai,Girl_Planting_Tree1.ai,Donating.ai,People/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
S11ETS1.1H5,NA,11,S11ETS1.1,"H - It is difficult for people using wheelchairs to get up stairs. (Point to person in prompt.) How can we help people in wheelchairs get up stairs: install ramps, build fences, or make more stairs?",It is difficult for people using wheelchairs to get up stairs. How can we help people in wheelchairs get up stairs?,install ramps,build fences,make more stairs,a,Boy_Wheelchair4.ai,Boy_Wheelchair1.ai,Boy_Wheelchair2.ai,Boy_Wheelchair3.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ETS1.1H9,NA,11,S11ETS1.1,"H - Here is a person who cannot hear very well. (Point to prompt.) Which technology could help people who cannot hear: radio, hearing aid, or calculator?",Here is a person who cannot hear very well. Which technology could help people who cannot hear?,radio,hearing aid,calculator,b,Girl_Cover_Mouth.ai,Radio2.ai,Hearing_Aid.ai,Calculator1.ai,People/Household Objects/Classroom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
S11ETS1.1L1,NA,11,S11ETS1.1,"L - This person's corn is wilting. (Point to prompt.) What could the person do to save the corn: plant trees, water corn, or bike ride?",This person's corn is wilting. What could the person do to save the corn?,plant trees,water corn,bike ride,b,Cornfield_Girl.ai,Girl_Planting_Tree_Cornfield.ai,Girl_Watering.ai,Boy_Bicycle7.ai,Plants_Outdoors/People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ETS1.1L11,NA,11,S11ETS1.1,"L - Your bike has a flat tire. (Point to bike in prompt.) What is another way to get to school: walk, eat, or sleep?",Your bike has a flat tire. What is another way to get to school?,walk,eat,sleep,a,Bicycle19.ai,Boy_Walking3.ai,Boy_Eating1.ai,Boy_Sleeping4.ai,Transportation/People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ETS1.1L16,NA,11,S11ETS1.1,"L - Here are three people. (Point to prompt.) Which person needs help with a problem: A, B, or C?",Which person needs help with a problem?,A,B,C,b,NA,Boy_School_Bus2.ai,Boy_Wheelchair7.ai,Boy_Walking6.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ETS1.1L6,NA,11,S11ETS1.1,"L - Here are three pictures. (Point to prompt.)Which shows someone who needs help: A, B, or C?",Which shows someone who needs help?,A,B,C,b,NA,Boy_School_Bus2.ai,Boy_Wheelchair7.ai,Boy_Walking6.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ETS1.1M12,NA,11,S11ETS1.1,"M - Thee two towns want to build a road to connect to each other. (Point to cities in picture.) Which should the towns build to cross the river: skyscraper, bridge, or a car?",Thee two towns want to build a road to connect to each other. Which should the towns build to cross the river?,skyscraper,bridge,car,b,Towns_Mountains.ai,Towns_Moutains2.ai,Towns_Moutains_Bridge.ai,Towns_Mountains.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.49,NA
S11ETS1.1M13,NA,11,S11ETS1.1,"M - This playground is covered in litter. (Point to litter on sidewalk.) Which could reduce litter on the playground: more trash cans, plant some trees, or more equipment?",This playground is covered in litter. Which could reduce litter on the playground?,more trash cans,plant some trees,more equipment,a,Swing_Set_Trash2.ai,Swing_Set_Trash1.ai,Swing_Set_Trash3.ai,Swing_Set_Trash4.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ETS1.1M17,ETS - FT,11,S11ETS1.1,"M - A town on the coast needs more electricity. (Point to prompt.) Which natural resource might be used to make electricity for the town: wood, coal or wind?",A town on the coast needs more electricity. Which natural resource might be used to create power?,wood,coal,wind,c,Town.ai,Log1.ai,Coal2.ai,Wind_Turbine1.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.45,NA,NA
S11ETS1.1M18,NA,11,S11ETS1.1,"M - This school wants to save cans and bottles from going into landfills. (Point to prompt.) What would reduce the number of cans and bottle the students are throwing away: more trash cans, more recycling bins, or litter the playground?",This school wants to save cans and bottles from going into landfills. hat would reduce the number of cans and bottle the students are throwing away?,more trash cans,use recycling bins,litter the playground,a,Cans_Bottles.ai,Trash2.ai,Recycle3.ai,Swing_Set_Trash2.ai,Misc./Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ETS1.1M2,NA,11,S11ETS1.1,"M - This area is full of litter. (Point to litter on sidewalk.) What could likely reduce litter on the sidewalk: more trash cans, plant some trees, or more street lights?",This area is full of litter. What could likely reduce litter on the sidewalk?,more trash cans,plant some trees,more street lights,a,Sun_Trash.ai,Sun_Trash2.ai,Sun_Trash3.ai,Sun_Trash4.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ETS1.1M3,ETS - FT,11,S11ETS1.1,"M - This city has too much traffic.  (Point to street.) Which could reduce traffic: close the street, plan a bus system, or plant some trees?",This city has too much traffic. What could the city do to reduce traffic on the street?,close all the streets,plan a bus system,plant some trees,b,Car33.ai,NA,NA,NA,Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,2.17,NA,NA
S11ETS1.1M7,NA,11,S11ETS1.1,"M - The town of Dryville needs more water. (Point to prompt.) What could limit the town getting more water: the type of computers, the number of bicycles, or the amount of water nearby?",This town needs more water. What could limit the town getting more water?,the type of computers,number of bicycles,amount of water nearby,c,Map_Dryville.ai,NA,NA,NA,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.44,NA
S11ETS1.1M8,ETS - FT,11,S11ETS1.1,"M - This town is running out of power. (Point to prompt.) What could the town build to get power from the Sun: solar panels, more buildings, or farm fields?",This town is running out of power. What could the town build to get power from the Sun?,solar panels,more buildings,farm fields,a,City6.ai,Sun_Solar_Panel.ai,City7.ai,Sun_Hills.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.84,NA,NA
S11ETS1.1MSAMPLE,NA,11,S11ETS1.1,"M - This sunny city needs to create energy. (Point to prompt.) Which natural resource might be used to create energy: sunlight, wind, or farming?",Which natural resource might be used  to create energy?,sunlight,wind,farming,a,City8.ai,Sun_Solar_Panel.ai,Wind5.ai,Cornfield_Girl.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.2,NA
S11LFS1.2H10,LFS - OI,11,S11LFS1.2,"H - The respiratory system helps humans breathe. (Point to prompt picture.) Which is part of the respiratory system: hand, lungs, or bones?",Which is part of the respiratory system?,hand,lungs,bones,b,Boy_Anatomy6.ai,Hand3.ai,Lungs4.ai,Skeleton.ai,People,prompt + graphic,graphic + word,graphic + word,graphic + word,Science_G11_S11LFS1.2H10_intro.mp3,Science_G11_S11LFS1.2H10_stem.mp3,Science_G11_S11LFS1.2H10_a.mp3,Science_G11_S11LFS1.2H10_b.mp3,Science_G11_S11LFS1.2H10_c.mp3,FT,OI,OI,OI,NA,0.17,0.17,0.17,0.17
S11LFS1.2H14,NA,11,S11LFS1.2,"H - Here are three body parts. (Point to answer choices.) Which do people use to breathe: heart, lungs, or intestines?",Which do people use to breathe?,heart,lungs,stomach,b,NA,Boy_Anatomy5.ai,Boy_Anatomy7.ai,Boy_Anatomy8.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.2H15,LFS - FT,11,S11LFS1.2,"H -  Here are three body parts. (Point to answer choices.) Which pumps blood through the body: heart, lungs, or intestines?",Which pumps blood through the body?,heart,lungs,stomach,a,NA,Boy_Anatomy5.ai,Boy_Anatomy7.ai,Boy_Anatomy8.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.3,NA,NA
S11LFS1.2H20,NA,11,S11LFS1.2,"H - Here are three body parts. (Point to answer choices.) Which gives us strength to move: hair, muscles, or ears?",Which gives us strength to move?,hair,muscles,ears,b,NA,Hair.ai,Arm2.ai,Ears.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.21,NA,NA,NA
S11LFS1.2H4,NA,11,S11LFS1.2,"H - The digestive system helps people break down and process food. (Point to prompt.) Which is part of the digestive system: bones, stomach or kidney?",Which is part of the digestive system?,bones,stomach,kidney,b,Boy_Anatomy1.ai,Skeleton.ai,Stomach1.ai,Kidney.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
S11LFS1.2H5,NA,11,S11LFS1.2,"H - This is a heart. (Point to heart in prompt.) Which does the heart pump through the body: air, blood, or skin?",What does the heart pump through the body?,soda,blood,skin,b,Heart.ai,Soda_Can1.ai,Blood.ai,Hand5.ai,People/Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.68,NA
S11LFS1.2HSAMPLE,NA,11,S11LFS1.2,"H - This is the human skeleton. (Point to prompt.) What is the skeletal system made of: skin, blood or bones?",What is the skeletal system made of?,skin,blood,bones,c,Skeleton.ai,Hand5.ai,Blood.ai,Bone.ai,People,prompt + graphic,graphic + word,graphic + word,graphic + word,Science_G11_S11LFS1.2HSAMPLE_intro.mp3,Science_G11_S11LFS1.2HSAMPLE_stem.mp3,Science_G11_S11LFS1.2HSAMPLE_a.mp3,Science_G11_S11LFS1.2HSAMPLE_b.mp3,Science_G11_S11LFS1.2HSAMPLE_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,-0.1928
S11LFS1.2L1,NA,11,S11LFS1.2,"L -This is Jill. (Point to girl in prompt.) Which points to Jill's ear: A, B, or C?",Which points to Jill's ear?,A,B,C,b,Girl_Arrows_ABC3.ai,NA,NA,NA,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.2L11,NA,11,S11LFS1.2,"L - Here are three pictures. (Point to answer choices.) Which shows a person's eye: A, B, or C?",Which shows a person's eye?,A,B,C,a,NA,Eye.ai,Arm2.ai,Teeth.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.83,NA,NA,NA
S11LFS1.2L16,NA,11,S11LFS1.2,"L - Here is a human body. (Point  to prompt.) Which part of the body is the nose: A, B, or C?",Which part of the body is the nose?,A,B,C,c,Body.ai,Arm3.ai,Leg2.ai,Head.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.2L17,NA,11,S11LFS1.2,"L - Here is a human body. (Point to prompt.) Which part of the body are the toes: feet, arm, or head?",Which part of the body are the toes?,A,B,C,a,Body.ai,Foot5.ai,Arm3.ai,Head.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.2L6,NA,11,S11LFS1.2,"L - Here is James. (Point to prompt picture.) Which shows James' leg: A, B, or C?",Which shows James' leg?,A,B,C,b,Boy_Arrows_ABC2.ai,Boy15.ai,Leg4.ai,Arm4.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.2L7,NA,11,S11LFS1.2,"L - Here are three pictures of body parts. (Point to answer choices.) Which shows a person's bones: A, B, or C?",Which shows a person's bones?,A,B,C,a,NA,Skeleton_Foot.ai,Foot1.ai,Hand3.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.82,NA,NA,NA
S11LFS1.2M12,NA,11,S11LFS1.2,"M - Here are three body parts. (Point to answer choices.) Which do people use to taste food: ears, feet, or tongue?",Which do people use to taste food?,ears,feet,tongue,c,NA,Ear.ai,Feet1.ai,Tongue.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.2M13,NA,11,S11LFS1.2,"M - Here are three body parts. (Point to answer choices.) Which do people use to hold things: nose, hands, or hair?",Which do people use to hold things?,nose,hands,hair,b,NA,Nose2.ai,Hand3.ai,Hair.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.2M18,NA,11,S11LFS1.2,"M - Here are three body parts. (Point to answers.) Which body part do you use to smell: hands, nose, or eyes?",Which body part do you use to smell?,hands,nose,eyes,b,NA,Hand1.ai,Nose.ai,Eyes.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.2M19,NA,11,S11LFS1.2,"M - Here are three body parts. (Point to answers.) Which body part do you use to grab and hold things: eyes, ears, or hands?",Which body part do you use to grab and hold things?,eyes,ears,hands,c,NA,Eyes.ai,Ears.ai,Hand1.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.23,NA,NA,NA
S11LFS1.2M2,NA,11,S11LFS1.2,"M - Here are three body parts. (Point to answer choices.) Which helps a person see: nose, toes, or eyes?",Which helps a person see?,nose,toes,eyes,c,NA,Nose.ai,Toes.ai,Eyes.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.2M3,NA,11,S11LFS1.2,"M - A person's feet help them run. (Point to prompt.) Which body part also helps a person run: legs, fingers, or nose?",A person's feet help them run. Which body part also helps a person run?,legs,fingers,nose,a,NA,Leg1.ai,Hand3.ai,Nose.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.2M8,NA,11,S11LFS1.2,"M - Here is Rose. (Point to girl.) Which body part does Rose use to chew her food: hand, teeth, or leg?",Which body part does Rose use to chew her food?,hand,teeth,leg,b,Girl_Eating_Apple.ai,Hand3.ai,Teeth.ai,Leg1.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.58,NA,NA,NA
S11LFS1.2M9,NA,11,S11LFS1.2,"M - Here is Jay. (Point to boy.) Which body part does Jay use to run: hands, head, or legs?",Which body part does Jay use to run?,hands,head,legs,c,Boy_Running1.ai,Fist2.ai,Boy17.ai,Leg3.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5H10,NA,11,S11LFS1.5,"H - Here is an indoor plant. (Point to answer choices.) Which could you use to help a plant grow if there were no sunlight: candle, flashlight, or grow-light?",Which could you use to help a plant grow if there were no sunlight?,candle,flashlight,growlight,c,Flower_Window.ai,Flower_Candle.ai,Flower55.ai,Flower56.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5H15,NA,11,S11LFS1.5,"H - Here is a plant. (Point to plant in prompt diagram.) What gives plants energy to create food during photosynthesis: Sun, Moon, or clouds?",What gives plants energy to create food during photosynthesis?,Sun,Moon,clouds,a,Plant_Cycle3.ai,Sun1.ai,Moon4.ai,Cloud4.ai,Biology/Weather/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5H19,NA,11,S11LFS1.5,"H - Here is a diagram of photosynthesis, the process in which plants use  light, air, and water to make food.. (Point to diagram.) Which part of the plant takes in sunlight during photosynthesis: leaves, roots, or clouds?",Which part of the plant takes in sunlight during photosynthesis?,leaves,roots,clouds,a,Plant_Cycle3.ai,Leaf3.ai,Roots2.ai,Cloud4.ai,Biology/Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5H20,NA,11,S11LFS1.5,"H - Here is a plant and a diagram of photosynthesis.  (Point to plant in prompt diagram.) What do the leaves release during photosynthesis: carbon dioxide, sunlight, or oxygen?",What do the leaves release during photosynthesis?,carbon dioxide,sunlight,oxygen,c,Plant_Cycle3.ai,Flower58.ai,Sun_Arrows2.ai,Flower59.ai,Biology/Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5H5,NA,11,S11LFS1.5,"H - Here are three diagrams. (Point to answer choices.) Which shows how plants make food during photosynthesis: A, B, or C?",Which shows how plants make food during photosynthesis?,A,B,C,c,NA,Flower_Sun_Arrow.ai,Sun_Cat_Flower.ai,Sun_Flower_Water.ai,Plants_Outdoors/Biology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5H9,NA,11,S11LFS1.5,"H - Here is a diagram of photosynthesis, the process in which plants use  light, air, and water to make food. (Point to answer choices.) Which part of the plant takes in water during photosynthesis: A, B, or C?",Which part of the plant takes in water during photosynthesis?,A,B,C,c,Plant_Cycle3.ai,Leaf3.ai,Sun1.ai,Roots2.ai,Biology/Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5L1,NA,11,S11LFS1.5,"L - Here is a palm tree. (Point to prompt.) Which does a palm tree need to grow: sugar, water, or scissors?",Which does a palm tree need to grow,sugar,water,scissors,b,Palm_Tree5.ai,Sugar2.ai,Watering_Can1.ai,Scissors.ai,Plants_Outdoors/Food/Household Objects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5L11,NA,11,S11LFS1.5,"L - During photosynthesis, plants use light, air, and water to make food. (Point to plant in prompt.) Which does a plant need for photosynthesis: A, B, or C?","During photosynthesis, plants use light, air, and water to make food. Which does a plant need for photosynthesis?",A,B,C,b,Grass1.ai,Moon6.ai,Watering_Can1.ai,Soda_Can1.ai,Plants_Outdoors/Astronomy/Household Objects/Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5L12,NA,11,S11LFS1.5,"L - During photosynthesis, plants use light, air, and water to make food. (Point to plant in prompt.) Which does a plant need for photosynthesis: sunlight, house, or rocks?","During photosynthesis, plants use light, air, and water to make food. Which does a plant need for photosynthesis?",sunlight,house,salt,a,NA,Sun1.ai,House1.ai,Salt3.ai,Weather/Plants_Outdoors/Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5L16,NA,11,S11LFS1.5,"L - During photosynthesis, plants use light, air, and water to make food and grow. (Point to prompt.) Which shows a plant getting water to grow: A, B, or C?","During photosynthesis, plants use light, air, and water to make food and grow. Which shows a plant getting water to grow?",A,B,C,b,Flower17.ai,Flower_Salt.ai,Flower85.ai,Flower_Soap.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5L2,NA,11,S11LFS1.5,"L - Here is a plant. (Point to prompt.) Which does a plant need to grow: sand, ruler, or air?",Which does a plant need to grow?,sand,ruler,air,c,Tomato_Plant_Sun2.ai,Sand_Pile12.ai,Ruler.ai,Wind3.ai,Plants_Outdoors/Classroom/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5L6,NA,11,S11LFS1.5,"L - Here is a flower. (Point to answer choices.) During photosynthesis, plants use light to make food and grow. Which gives plants light: leaves, sunlight, or clouds?","During photosynthesis, plants use light to make food and grow. Which gives plants light?",leaves,Sun,clouds,b,Rose_Sun_Cloud.ai,Leaf3.ai,Sun1.ai,Cloud4.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.1,NA,NA,NA
S11LFS1.5LSAMPLE,NA,11,S11LFS1.5,"L - This is a cactus. (Point to prompt.) Which does the cactus need to grow: sunlight, salt, or soap?",Which does the cactus need to grow?,sunlight,salt,soap,a,Cactus6.ai,Cactus_Window.ai,Cactus4.ai,Cactus5.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5M13,LFS - OI,11,S11LFS1.5,"M - Here are three plants. (Point to plants.) During photosynthesis, plants use light, air, and water to make food. Which of these plants will grow the tallest, the one given: water, soda, or salt?","During photosynthesis, plants use light, air, and water to make food. Which of these plants will grow the tallest?",water,soda,salt,a,NA,Flower86.ai,Flower67.ai,Flower68.ai,Plants_Outdoors,prompt (SM),graphic + word,graphic + word,graphic + word,Science_G11_S11LFS1.5M13_intro.mp3,Science_G11_S11LFS1.5M13_stem.mp3,Science_G11_S11LFS1.5M13_a.mp3,Science_G11_S11LFS1.5M13_b.mp3,Science_G11_S11LFS1.5M13_c.mp3,FT,OI,OI,OI,NA,-0.58,-0.58,-0.58,-0.58
S11LFS1.5M14,NA,11,S11LFS1.5,"M - This is a plant. (Point to plant.)  Which spot could help the plant grow tallest, in a: sunny window, a dark room, or inside a box?",Which spot could help the plant grow tallest?,sunny window,dark room,inside box,a,Flower84.ai,Sun_Window.ai,Room.ai,Box2.ai,Plants_Outdoors/Weather/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11LFS1.5M17,NA,11,S11LFS1.5,"M - Here is a diagram of photosynthesis. (Point to diagram.) During photosynthesis, plants use light, air, and water to make food and grow. Which of these plants will grow the best, the one given: sunlight, soda, or salt?","During photosynthesis, plants use light, air, and water to make food and grow. Which of these plants will grow the best?",sunlight,soda,salt,a,Plant_Cycle3.ai,Flower_Sun2.ai,Flower70.ai,Flower71.ai,Biology/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.21,NA,NA,NA
